"pitch_speed","pitch_spin","pitch_horizontal_movement","pitch_vertical_movement","plate_x","plate_z","pitcher_hand","launch_angle","launch_speed","stand","home_run"
85.6,1984,-1.57,1.08,0.14,2.08,"R",22,85.5,"L",0
85.4,2450,0.68,0.71,0.89,2.17,"R",7,63.7,"R",0
88.8,1994,-1.15,1.46,-0.29,2.73,"R",-45,71,"R",0
89.2,2195,-1.22,1.07,-0.61,1.92,"R",-6,97.9,"R",0
96,2324,-1.46,0.61,-0.53,1.86,"R",21,79.2,"L",0
89.3,2184,0.09,1.03,0.76,2.35,"R",0,103.6,"R",0
88.9,2115,-1.2,1.21,0.55,2.16,"R",-2,96.4,"R",0
93.6,2257,-0.44,1.22,0.78,3.51,"R",62,60.1,"L",0
86.8,2446,-0.06,1.08,1.28,2.36,"R",3,68.6,"R",0
88.6,2477,0.44,1.19,0.29,2.89,"R",69,80,"R",0
95.1,2260,-0.08,1.51,-0.35,2.38,"L",8,99.5,"R",0
92.2,2262,-0.93,1.69,-0.11,3.33,"R",-16,92.2,"R",0
90.2,2381,-0.09,1.13,0.21,2.84,"R",20,91.3,"L",0
85.5,1518,-1.22,1.17,-0.04,2.02,"R",17,91.9,"R",0
84.4,2599,1.22,0.12,0.53,2.03,"R",5,89.1,"R",0
89,1165,-0.02,0.76,0.24,2.09,"R",-34,76.1,"R",0
94.2,2225,-0.44,1.33,0.6,2.93,"R",-16,74.7,"R",0
83.4,2937,1.06,-0.04,-0.28,2.69,"R",-5,87.2,"L",0
91.2,2302,-0.1,1.51,-0.04,2.12,"R",-6,66.1,"L",0
85,2353,0.3,0.54,-0.25,2.6,"R",39,78.8,"L",0
97.5,2236,-0.3,1.53,0.46,2.52,"R",17,88.7,"R",0
91.8,2174,-1.31,1.54,-0.1,3.21,"R",8,103.6,"R",0
93.2,2160,-1.33,1.04,-0.34,1.93,"R",-16,97.4,"R",0
86.3,2299,-0.17,0.73,0.61,2.01,"R",39,104.7,"L",1
81.2,1995,0.1,0.28,-0.38,2.2,"L",-11,95.1,"L",0
81,519,0.42,0.09,0.35,1.59,"R",-17,79.3,"L",0
78.2,2353,0.4,-0.65,-0.26,2.65,"R",45,88.4,"R",0
95.2,2324,0.36,1.86,-0.47,2.64,"L",28,105.2,"R",1
90.9,2227.13855948236,-0.59,1.48,-0.09,1.55,"R",39,99.1,"L",0
89.3,2213,-1.04,1.33,-0.4,1.9,"R",-13,86.9,"R",0
93.9,2166,-1.02,1.58,0.26,3.22,"R",50,85,"L",0
93.4,2295,-0.48,1.71,0.69,3.14,"R",28,96.4,"R",0
84.7,2771,0.71,-0.25,0.08,2.35,"R",20,102.9,"R",0
88.6,2024,-1.44,0.46,-0.87,3.22,"R",-1,99.1,"L",0
90,2275,-1.51,0.97,0.21,1.76,"R",-8,99,"L",0
87.2,2252,-0.45,0.48,0.57,1.9,"R",-8,95.3,"R",0
88.3,1912,0.09,0.84,-0.08,2.68,"R",-26,96,"L",0
81.2,1183,1.03,0.34,-0.41,1.36,"L",-25,84.4,"R",0
80.8,1353,1.24,0.83,-0.46,1.42,"L",0,101.6,"R",0
88.2,2046,-2.03,0.71,0.39,1.96,"R",-6,96.9,"R",0
91.3,2251,0.55,1.58,-0.24,2.83,"L",31,101,"R",0
71.6,1169,0.78,-0.69,0.56,1.4,"R",-8,66.7,"L",0
96.8,2415,-1.39,1.29,-0.13,2.19,"R",-13,88.2,"R",0
90.4,2031,0.6,1.76,-0.47,3.77,"L",14,98.9,"R",0
88.6,2440,0.33,1.04,0.21,1.97,"R",2,82.6,"L",0
92.2,2221,-0.53,1.38,0.52,3.16,"R",21,95,"L",0
86.1,742,0.03,-0.07,0.36,1.3,"L",-23,66.1,"R",0
93.7,2106,-1.37,0.54,-0.94,2.69,"R",26,102.4,"L",0
93.9,2458,-0.86,1.81,-0.32,1.91,"R",-13,95.4,"R",0
77.7,2121,0.6,-0.5,-0.05,1.79,"R",51,92.2,"R",0
92.5,2254,0.41,1.52,-0.17,2.47,"L",21,79.7,"R",0
86.7,1799,-1.33,0.64,-0.28,1.64,"R",-10,95.8,"L",0
95.9,2377,-1.03,1.2,0.87,2.12,"R",18,72.4,"L",0
92.7,2291,0.59,1.5,-0.39,2.53,"L",41,90.9,"R",0
82.2,2283,-0.39,0.42,-0.65,2.25,"L",53,75.5,"L",0
94.3,2179,1.19,1.33,0.42,3.05,"L",-8,98.3,"R",0
79.8,1672,1.19,1.23,0.12,2.01,"L",-11,79.1,"R",0
90.3,1185,-0.01,1.41,-0.19,2.39,"L",-10,96.6,"L",0
89.8,2515,-0.61,1.55,0.29,2.16,"R",-49,63.8,"R",0
92,2252,-0.99,0.79,-0.37,1.98,"R",28,92.2,"R",0
92.3,2166.985,-1.3,0.99,-0.1,2.36,"R",24.2885714285714,104.449552742616,"L",0
92.4,2096,-1.18,0.2,-0.12,2.98,"R",21,103.8,"R",1
89.4,2147,-0.83,1.82,0.21,3.46,"R",16,96.5,"L",0
96.6,2125,1.01,1.38,-0.09,2.41,"L",-31,101.9,"R",0
82.8,1689,-1.36,1.29,-0.55,1.63,"R",-4,78.9,"L",0
80.9,2019,-1.16,1.73,-0.56,1.34,"R",6,102.9,"R",0
89.8,2172,1.44,1.77,0.03,2.74,"L",14,90.5,"R",0
82.4,1027,0.26,0.41,0.88,2.77,"R",-15,66.6,"R",0
79,1896,0.71,1.09,-0.75,2.44,"L",30,94.2,"R",1
90.1,2246.47776281206,-0.5,1.87,0.16,1.82,"R",25.01,104.728697066776,"R",0
77.8,2334.76333333333,0.74,-0.3,-0.32,1.93,"R",3,105.5,"R",0
91.9,2104,-0.85,1.61,-0.28,3.09,"R",28,85.6,"L",0
89.4,2128,0.43,0.65,0.27,2.04,"R",-3,69.3,"R",0
86.5,1626,-0.73,1.29,0.31,2.66,"R",69,80,"L",0
88.6,2287,0.49,2.09,-0.63,2.65,"L",69,80,"L",0
80.4,1066,1.09,0.25,0.77,2.15,"R",25,52.4,"L",0
95.8,2219,-1.04,1.45,-0.26,2.82,"R",1,93.9,"R",0
92.1,2520,0.25,1.98,-0.54,2.7,"L",7,109.4,"R",0
90.9,1892,0.11,1.17,0.41,2.03,"R",-43,65.6,"L",0
92.7,2404,-0.54,1.8,0.25,2.02,"R",69,80,"R",0
92.2,2129.5529047619,-0.76,1.09,0.43,2.54,"R",24.9533333333333,103.807917237453,"R",0
90.4,2144,-1.37,1.16,-0.11,2.71,"R",26,91.5,"L",0
96.8,2163,-0.78,1.43,-1.64,2.26,"R",54,89.2,"R",0
96.7,2086,-0.82,1.14,-1.08,3.5,"R",-16,34.5,"L",0
86.5,1117,0.19,0.63,0.64,2.39,"R",32,78.5,"R",0
95,2314,-0.73,1.58,0.12,2.61,"R",25,104.8,"L",0
95.2,2211,-1.13,0.95,-0.3,2.39,"R",-21,82.9,"R",0
93.4,2107,-1.05,1.87,-0.52,2.96,"R",13,69.9,"R",0
82.6,1725,-1.62,1.18,-0.26,2.23,"R",11,99.5,"R",0
91.9,2064,-1.05,0.74,-0.9,2.31,"R",-28,80.4,"L",0
90.4,2019,-1.1,1.27,-0.89,2.21,"R",-45,66.5,"R",0
89.9,2319,-1.58,1.18,0.11,1.8,"R",-3,95,"L",0
90.5,2318,0.28,1.01,0.2,2.5,"R",2,101.4,"L",0
88.5,2264,0.45,0.9,0.29,2.63,"R",69,80,"L",0
92.5,2229,-0.69,1.38,0.33,1.84,"R",17,109.1,"L",0
78.3,2544,0.64,-0.99,-0.47,2.26,"R",69,80,"R",0
88.6,2349,0.22,1.03,0.88,2.49,"R",-8,79.4,"R",0
92.7,2263,-1.26,1.36,0.44,2.46,"R",2,102.4,"R",0
80.9,2013,0.31,0.22,-0.36,2.31,"L",22,92.8,"L",0
81.3,1679,-1.66,1.17,-0.52,2.89,"R",61,82.1,"L",0
